This tab has one table with population components for Statistical Areas Level 3 in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AI349.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Population components, Statistical Areas Level 3, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,
,,,,,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Overseas departures,Net overseas migration,,,,,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,
1,New South Wales,1GSYD,Greater Sydney,121,Sydney - North Sydney and Hornsby,12104,North Sydney - Mosman,1219,484,735,8770,11260,-2490,3980,2757,1223,1002,468,534,7016,7891,-875,6499,2551,3948,936,457,479,6542,8902,-2360,5706,2790,2916,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,122,Sydney - Northern Beaches,12201,Manly,543,231,312,3521,4606,-1085,1703,1178,525,442,203,239,2581,3296,-715,2708,1091,1617,422,213,209,2540,3386,-846,2520,1193,1327,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,122,Sydney - Northern Beaches,12202,Pittwater,619,471,148,4423,5348,-925,922,505,417,499,495,4,3422,3692,-270,1436,391,1045,475,452,23,3176,3747,-571,1342,428,914,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,122,Sydney - Northern Beaches,12203,Warringah,1923,1179,744,9749,12494,-2745,2945,1563,1382,1586,1171,415,7515,8838,-1323,4820,1273,3547,1504,1092,412,7389,8896,-1507,4305,1393,2912,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,123,Sydney - Outer South West,12301,Camden,1150,412,738,6389,6345,44,410,193,217,1031,400,631,5058,4928,130,741,149,592,966,384,582,5304,4920,384,622,164,458,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,123,Sydney - Outer South West,12302,Campbelltown (NSW),2691,1104,1587,14023,13999,24,2119,993,1126,2721,1103,1618,11190,11200,-10,3617,775,2842,2532,1113,1419,11115,11282,-167,3201,849,2352,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,123,Sydney - Outer South West,12303,Wollondilly,661,279,382,4325,3516,809,170,80,90,677,290,387,3292,2641,651,330,62,268,669,287,382,3798,2531,1267,282,71,211,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,124,Sydney - Outer West and Blue Mountains,12401,Blue Mountains,691,615,76,5017,5841,-824,599,282,317,682,567,115,3842,4196,-354,986,218,768,636,600,36,3838,4205,-367,880,242,638,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,124,Sydney - Outer West and Blue Mountains,12402,Blue Mountains - South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,124,Sydney - Outer West and Blue Mountains,12403,Penrith,2506,925,1581,11999,12054,-55,1163,546,617,2258,945,1313,9540,9213,327,2036,423,1613,2299,927,1372,10291,9690,601,1744,467,1277,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,124,Sydney - Outer West and Blue Mountains,12404,Richmond - Windsor,555,364,191,3761,3976,-215,194,89,105,547,318,229,3115,3057,58,313,70,243,523,298,225,3099,2976,123,281,76,205,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,124,Sydney - Outer West and Blue Mountains,12405,St Marys,896,352,544,5717,6345,-628,562,262,300,848,349,499,4437,4989,-552,921,205,716,850,296,554,4994,5037,-43,822,224,598,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,125,Sydney - Parramatta,12501,Auburn,1566,422,1144,8559,10805,-2246,4249,2146,2103,1430,373,1057,6110,8579,-2469,7353,1746,5607,1353,368,985,6835,8417,-1582,6390,1911,4479,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,125,Sydney - Parramatta,12502,Carlingford,762,414,348,7156,7720,-564,1698,860,838,700,359,341,5746,6277,-531,2780,702,2078,661,356,305,5957,6489,-532,2482,769,1713,,,,,,,
