This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in South Australia for 2023-24. It ranges from cell A1 to Q183.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population and components, Statistical Areas Level 2, South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40403,West Torrens,404031105,Fulham,3041,3124,83,2.7,-9,54,38,1.3,2364.5,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40403,West Torrens,404031106,Lockleys,14016,14210,194,1.4,22,-148,320,5.7,2492.1,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40403,West Torrens,404031107,Plympton,27735,28321,586,2.1,56,-301,831,10.7,2647.6,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40403,West Torrens,404031108,Richmond (SA),17932,18248,316,1.8,43,-252,525,8.9,2044.5,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40403,West Torrens,404031109,West Beach,5357,5438,81,1.5,-1,2,80,4.5,1206.6,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40501,Barossa,405011110,Barossa - Angaston,6759,6832,73,1.1,-6,49,30,633.9,10.8,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40501,Barossa,405011111,Light,10349,10534,185,1.8,44,123,18,1111.7,9.5,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40501,Barossa,405011112,Lyndoch,6858,6949,91,1.3,26,41,24,175.8,39.5,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40501,Barossa,405011113,Mallala,3476,3523,47,1.4,6,34,7,847.9,4.2,,,,,,,,,,,,
4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,40501,Barossa,405011114,Nuriootpa,7642,7780,138,1.8,-18,134,22,50.6,153.6,,,,,,,,,,,,
