This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Tasmania for 2023-24. It ranges from cell A1 to Q108.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated resident population and components, Statistical Areas Level 2, Tasmania",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60302,Huon - Bruny Island,603021071,Geeveston - Dover,4302,4383,81,1.9,0,50,31,827.8,5.3,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60302,Huon - Bruny Island,603021072,Huonville - Franklin,10101,10211,110,1.1,27,47,36,682,15,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60303,South East Coast,603031073,Forestier - Tasman,2687,2722,35,1.3,-17,46,6,660.4,4.1,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60303,South East Coast,603031074,Triabunna - Bicheno,5221,5263,42,0.8,-8,24,26,2542.2,2.1,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011075,Acton - Upper Burnie,3410,3395,-15,-0.4,13,-42,14,2.1,1582.4,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011076,Burnie - Ulverstone Surrounds,5331,5385,54,1,37,11,6,1364.2,3.9,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011077,Burnie - Wivenhoe,3743,3669,-74,-2,7,-102,21,11.4,320.5,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011078,Parklands - Camdale,7069,7039,-30,-0.4,-20,-38,28,19.5,360.4,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011079,Penguin - Sulphur Creek,5593,5605,12,0.2,-11,12,11,64.2,87.4,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011080,Romaine - Havenview,3639,3645,6,0.2,6,-14,14,11.9,307.5,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011081,Somerset,4183,4228,45,1.1,-17,56,6,26.9,157.2,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011082,Ulverstone,7186,7131,-55,-0.8,-13,-61,19,27.5,259.4,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011083,West Ulverstone,4605,4607,2,0,-54,46,10,18.1,255,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60401,Burnie - Ulverstone,604011084,Wynyard,6640,6708,68,1,-20,68,20,58.6,114.4,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60402,Devonport,604021085,Devonport,14908,14840,-68,-0.5,-63,-75,70,10.3,1444,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60402,Devonport,604021086,East Devonport,5238,5281,43,0.8,-10,27,26,13.2,399.1,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60402,Devonport,604021087,Latrobe,5677,5750,73,1.3,-27,83,17,215.3,26.7,,,,,,,,,,,,
6RTAS,Rest of Tas.,604,West and North West,60402,Devonport,604021088,Miandetta - Don,3788,3780,-8,-0.2,13,-32,11,23.1,163.8,,,,,,,,,,,,
