This tab has one table with the estimated resident population for Statistical Areas Level 4 in Australia as at 30 June 2024. It ranges from cell A1 to AD98.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Estimated resident population, Statistical Areas Level 4, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
3,Queensland,3RQLD,Rest of Qld,319,Wide Bay,227560,230960,235859,241838,248209,254820,260855,267441,273694,277505,280002,284131,287057,288899,290197,292109,295492,299004,302732,306220,310692,317474,324169,330788
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,260423,262966,265359,268039,270934,274150,277423,280355,283615,286293,287515,289891,291600,293615,295797,297617,300962,304391,309216,314251,315729,319458,327714,333163
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,354538,357517,360923,363521,367466,372190,378571,384890,391532,397651,402307,407919,413459,419249,424444,429924,436346,442551,449269,456767,461134,467355,476257,484234
4,South Australia,4GADE,Greater Adelaide,403,Adelaide - South,324011,325151,326453,327260,328956,331722,335078,338732,343312,347303,350017,353263,355728,358152,360395,362685,365306,368238,371846,375882,377999,381354,387521,392131
4,South Australia,4GADE,Greater Adelaide,404,Adelaide - West,209034,209347,209515,209721,209989,211181,213138,215546,218895,221850,224252,226777,228909,231063,232783,233831,235656,238482,242083,245855,247010,250156,255546,259635
4,South Australia,4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,102255,102717,103131,103624,104216,104755,105595,106198,106917,107733,108115,109277,110323,111403,112310,113147,113816,114461,115225,115960,116947,117742,118756,119770
4,South Australia,4RSAU,Rest of SA,406,South Australia - Outback,85376,84464,84481,84279,83934,84204,84892,85519,86026,86548,86850,86955,86911,86785,86499,85754,85445,85402,85435,85449,85560,85540,85762,85946
4,South Australia,4RSAU,Rest of SA,407,South Australia - South East,167824,169405,170537,171745,173309,174327,175922,177425,178605,179944,180558,182643,184558,186678,188440,189885,191142,192612,194321,196191,198222,199610,201416,203132
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,133474,134662,135514,137438,141723,145440,147093,151495,156220,159873,163450,168774,173435,176511,178703,179738,182418,185100,188080,191479,194976,198243,202126,206196
5,Western Australia,5GPER,Greater Perth,502,Mandurah,59145,60070,62721,65749,68262,70623,73439,77689,81585,83762,87424,91243,94544,96632,98291,99663,101461,103560,105875,108625,111295,113980,118394,122716
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,139380,141346,143105,145024,147496,149886,153263,157632,162253,164706,167974,172249,175784,177355,178264,178659,180281,181672,184416,188590,188755,191188,200447,207192
5,Western Australia,5GPER,Greater Perth,504,Perth - North East,191057,193672,196020,198020,200075,204322,209957,216232,222378,226995,232384,240280,247401,252142,255880,259516,263588,268076,273903,281004,286691,292467,303576,313823
5,Western Australia,5GPER,Greater Perth,505,Perth - North West,401349,406768,413753,421808,429204,439108,455685,471205,487331,498623,513107,528029,540383,546946,552646,557181,563534,570721,579374,590449,596988,604418,624115,640980
5,Western Australia,5GPER,Greater Perth,506,Perth - South East,368695,373081,377528,382498,387865,393581,405251,418787,432884,444822,458751,473535,486207,493728,500726,506051,513045,520107,530351,542587,549135,557668,579211,597028
5,Western Australia,5GPER,Greater Perth,507,Perth - South West,295735,299599,302889,307133,312075,319392,330872,341315,352911,362224,373927,387526,399536,407120,413130,418193,424504,431817,440265,450306,458974,468299,485886,502632
5,Western Australia,5RWAU,Rest of WA,509,Western Australia - Wheat Belt,128689,128777,128877,128162,128631,128927,128618,129683,131310,132251,133414,135913,137922,138566,138424,137524,138248,138589,139139,140330,141617,142799,144819,147036
5,Western Australia,5RWAU,Rest of WA,510,Western Australia - Outback (North),72374,74465,76217,78422,80642,83475,85669,88927,92381,95139,98568,101409,103707,102015,100087,97933,97006,96662,96581,96994,96943,97949,99407,100680
5,Western Australia,5RWAU,Rest of WA,511,Western Australia - Outback (South),116376,116072,116117,115288,115234,115827,116292,118735,120997,122450,124410,126549,128025,126593,124521,121520,121635,121488,121641,122548,123991,124783,125781,126795
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,197403,197726,199788,201771,203288,204753,206649,209166,212085,214669,216273,217670,219315,221365,223502,225913,231291,236954,242498,246859,250717,252489,253984,254930
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,134461,134942,136236,137672,138595,139284,140172,141194,142268,143108,143631,143221,142924,142792,142701,142869,144924,147236,149534,152051,154726,155541,156041,156249
6,Tasmania,6RTAS,Rest of Tas.,603,South East,33898,33957,34187,34555,34925,35167,35618,36134,36715,37173,37495,37504,37417,37508,37545,37729,38435,39406,40490,41655,42790,43466,43846,44284
6,Tasmania,6RTAS,Rest of Tas.,604,West and North West,107906,107527,108323,109180,109394,110098,110823,112074,113285,113897,114084,113329,112575,111956,111369,111003,112112,113695,115319,117013,119006,119555,119867,120033
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,108280,108679,108433,109211,111388,113461,116935,121210,125315,127829,129106,133105,138471,141169,144914,147102,148752,148273,147251,147673,147971,149154,151122,152489
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,93463,93572,93292,93452,94517,95596,96813,98664,100712,101949,102186,102810,103251,101725,99778,98576,98660,98822,99308,99755,100180,101074,101940,102580
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,321538,324627,327357,328940,331399,335170,342644,348368,354785,361766,367985,376539,383257,388799,395813,403104,415046,426081,435730,444903,452508,456915,466359,473855
9,Other Territories,9OTER,Other Territories,901,Other Territories,2584,2397,2336,2356,2381,2379,2514,2683,2876,3055,3117,3033,2962,2896,2851,4608,4671,4725,4776,4803,4850,4920,4967,4994
,,,,,Total Australia,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27194369
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
